epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6595,1.59883,3.34689,1.92718,0.00604,0.85714,0.17335,0.08991,1.6875,3.99438,2.25527,0.00012861,0.00012861,0.00012861
2,106.241,1.49607,2.89741,1.87934,0.00735,0.83631,0.18615,0.07376,1.97565,4.02429,2.28182,0.000266134,0.000266134,0.000266134
3,157.815,1.39833,2.487,1.80011,0.00941,0.90774,0.28405,0.09437,2.26897,4.03112,2.50309,0.000397999,0.000397999,0.000397999
4,209.06,1.43037,2.38866,1.779,0.00994,0.86488,0.36988,0.12635,2.05794,3.7313,2.41724,0.000524206,0.000524206,0.000524206
5,261.118,1.38286,2.20052,1.69813,0.08728,0.08333,0.04936,0.01634,2.92112,4.09313,3.29134,0.000644753,0.000644753,0.000644753
6,312.308,1.36716,2.11386,1.67698,0.27305,0.24702,0.17644,0.07087,1.91301,3.71317,2.34482,0.000759642,0.000759642,0.000759642
7,363.959,1.33485,2.01291,1.68395,0.41607,0.16905,0.15741,0.06492,2.31051,4.20508,2.82076,0.000868872,0.000868872,0.000868872
8,416.102,1.327,2.02705,1.65609,0.37747,0.4369,0.34987,0.14436,1.86845,3.69468,2.57535,0.000972443,0.000972443,0.000972443
9,467.147,1.32129,1.93836,1.66481,0.15302,0.3369,0.19292,0.09538,1.95108,4.06012,2.7005,0.00107036,0.00107036,0.00107036
10,518.065,1.45145,2.11434,1.76661,0.28645,0.28762,0.19407,0.10062,2.09036,3.97562,2.70851,0.00116261,0.00116261,0.00116261
11,569.268,1.28413,1.87489,1.61427,0.29297,0.3875,0.24504,0.0959,1.94877,4.17193,2.95507,0.00114606,0.00114606,0.00114606
12,620.076,1.30686,1.90996,1.63703,0.53117,0.4619,0.45782,0.26732,1.66718,3.47065,2.42036,0.00111776,0.00111776,0.00111776
13,671.323,1.29929,1.85439,1.60932,0.35023,0.53906,0.43225,0.21519,1.68451,3.71516,2.39252,0.00108947,0.00108947,0.00108947
14,722.431,1.33809,1.9288,1.68539,0.41736,0.21017,0.17514,0.08203,1.71652,4.03565,2.40319,0.00106118,0.00106118,0.00106118
15,773.799,1.2853,1.85497,1.63896,0.57407,0.46064,0.49987,0.32094,1.64569,2.78862,2.46061,0.00103288,0.00103288,0.00103288
16,824.461,1.26374,1.78105,1.61539,0.64818,0.48277,0.53022,0.29269,1.79025,2.56428,2.36867,0.00100459,0.00100459,0.00100459
17,874.908,1.23027,1.6875,1.55507,0.47273,0.34464,0.29117,0.16035,2.00215,3.20194,2.54753,0.000976293,0.000976293,0.000976293
18,925.67,1.27056,1.6951,1.57661,0.49153,0.49702,0.47993,0.29067,1.59147,2.37416,2.0715,0.000947999,0.000947999,0.000947999
19,976.261,1.24738,1.76134,1.62271,0.54096,0.49048,0.48784,0.29951,1.58508,2.23697,2.12316,0.000919704,0.000919704,0.000919704
20,1026.99,1.30034,1.75982,1.6297,0.66006,0.37965,0.45848,0.2449,1.75774,2.6425,2.27534,0.00089141,0.00089141,0.00089141
21,1078.64,1.26739,1.67772,1.59223,0.50474,0.49821,0.47747,0.25266,1.83563,2.4922,2.2417,0.000863116,0.000863116,0.000863116
22,1129.16,1.24554,1.6443,1.608,0.56704,0.58155,0.56366,0.37672,1.4598,2.21896,2.06766,0.000834822,0.000834822,0.000834822
23,1180.52,1.17772,1.53488,1.55362,0.49915,0.54131,0.49807,0.28104,1.70691,2.5458,2.38515,0.000806528,0.000806528,0.000806528
24,1232.48,1.21158,1.62744,1.57788,0.3853,0.51012,0.43393,0.27012,1.5843,2.58473,2.13152,0.000778233,0.000778233,0.000778233
25,1284.03,1.19426,1.65341,1.55853,0.47395,0.53692,0.45511,0.27662,1.60056,2.75727,2.18046,0.000749939,0.000749939,0.000749939
26,1334.75,1.17174,1.60746,1.59585,0.60002,0.60238,0.56921,0.32851,1.65561,2.09176,2.2393,0.000721645,0.000721645,0.000721645
27,1386.04,1.08042,1.46754,1.48154,0.7024,0.55417,0.56807,0.34792,1.66319,2.08179,2.30393,0.000693351,0.000693351,0.000693351
28,1437.58,1.16789,1.58855,1.54448,0.61359,0.64524,0.59903,0.35927,1.63748,2.0305,2.18202,0.000665057,0.000665057,0.000665057
29,1488.21,1.12158,1.48215,1.49001,0.7027,0.57696,0.59146,0.37518,1.47427,1.94333,2.06875,0.000636762,0.000636762,0.000636762
30,1539.21,1.06881,1.43229,1.47182,0.75071,0.57381,0.62673,0.40776,1.47454,1.90737,1.97424,0.000608468,0.000608468,0.000608468
31,1589.59,1.09061,1.37079,1.46737,0.55039,0.60238,0.60376,0.40386,1.49928,1.90618,1.99123,0.000580174,0.000580174,0.000580174
32,1637.66,1.08639,1.35991,1.46099,0.679,0.53869,0.60532,0.3909,1.62879,2.08643,2.0941,0.00055188,0.00055188,0.00055188
33,1687.49,1.11424,1.46627,1.47029,0.58467,0.53869,0.55367,0.34432,1.70755,2.07785,2.12165,0.000523586,0.000523586,0.000523586
34,1735.81,1.06171,1.37512,1.45201,0.654,0.51905,0.53769,0.33944,1.53397,2.03258,2.02094,0.000495291,0.000495291,0.000495291
35,1784.59,1.01719,1.35045,1.43943,0.56955,0.50634,0.50415,0.32024,1.53249,2.13195,2.04381,0.000466997,0.000466997,0.000466997
36,1834.51,1.12814,1.40429,1.51255,0.74802,0.44042,0.54836,0.34327,1.63004,2.05729,2.09813,0.000438703,0.000438703,0.000438703
37,1883.59,1.02409,1.30187,1.39192,0.85166,0.49702,0.56729,0.3232,1.71224,2.0631,2.11384,0.000410409,0.000410409,0.000410409
38,1932.01,1.05785,1.38891,1.42856,0.63234,0.51131,0.53428,0.32084,1.61513,2.09149,2.06866,0.000382115,0.000382115,0.000382115
39,1982.54,1.04626,1.33902,1.42525,0.71722,0.47217,0.53421,0.31936,1.60261,1.97443,2.04849,0.00035382,0.00035382,0.00035382
40,2031.34,1.04232,1.2739,1.44725,0.74147,0.48236,0.58971,0.38286,1.46367,1.80635,1.95909,0.000325526,0.000325526,0.000325526
41,2080.71,1.25278,1.97903,1.70854,0.85852,0.48081,0.60395,0.39074,1.45561,1.78635,1.97605,0.000297232,0.000297232,0.000297232
42,2130.93,1.04044,1.68096,1.53143,0.74901,0.4918,0.56902,0.36225,1.4274,1.85061,1.93469,0.000268938,0.000268938,0.000268938
43,2180.34,1.13064,1.68825,1.58664,0.75901,0.46964,0.56662,0.37414,1.37044,1.78307,1.95833,0.000240644,0.000240644,0.000240644
44,2229.82,1.02,1.57774,1.51976,0.6657,0.60357,0.5653,0.37641,1.4166,1.76088,1.99657,0.000212349,0.000212349,0.000212349
45,2279.35,1.06011,1.53802,1.55042,0.69054,0.5863,0.57134,0.38662,1.37402,1.69687,1.96046,0.000184055,0.000184055,0.000184055
46,2327.9,1.0704,1.55998,1.56847,0.7139,0.604,0.6131,0.42346,1.36998,1.72895,1.93507,0.000155761,0.000155761,0.000155761
47,2376.55,0.94703,1.43162,1.47343,0.71546,0.55185,0.60141,0.42145,1.36035,1.76699,1.90895,0.000127467,0.000127467,0.000127467
48,2424.51,0.99314,1.42517,1.49541,0.66992,0.55417,0.58522,0.41387,1.34846,1.80011,1.89895,9.91726e-05,9.91726e-05,9.91726e-05
49,2471.7,0.95764,1.41706,1.46243,0.67721,0.55417,0.57377,0.40749,1.33887,1.8093,1.88719,7.08784e-05,7.08784e-05,7.08784e-05
